user_id,item_id
689f84b899fbf5076c5ec985,68b9ad1d9d6743e586455015
68b70934570891ebac502084,68b98535612f0293c20db5a4
68a4e27529c853d3c50a06b9,68b97cee3364699be59a4a12
68a02ac4b9fb569a6ae6b733,68b9cf99bfa05e420780a1e6
689f87a099fbf5076c5ec98c,68b9cf98bfa05e420780a1da
68a989b7d3101920ef9dcdc5,68b9ad1d9d6743e586455017
68a2008d0e824ad4a74affdf,68b984d8612f0293c20db59e
68b70934570891ebac502084,68b987f6612f0293c20db5cb
689f84b899fbf5076c5ec985,68b981c2612f0293c20db54d
68b98efec02accb223b32cbf,68b97cef3364699be59a4a24
68a02ac4b9fb569a6ae6b733,68b98812612f0293c20db5cf
68b70934570891ebac502084,68b9ad1e9d6743e58645501f
689f84b899fbf5076c5ec985,68b981c3612f0293c20db565
68a4e27529c853d3c50a06b9,68b9ad1c9d6743e586455009
68b8bf970f9799245af77682,68b9cf98bfa05e420780a1de
68a2008d0e824ad4a74affdf,68b98644612f0293c20db5ae
68a989b7d3101920ef9dcdc5,68b981c3612f0293c20db55b
689f850399fbf5076c5ec989,68b9cf97bfa05e420780a1d2
689f87a099fbf5076c5ec98c,68b9cf99bfa05e420780a1ea
689f87a099fbf5076c5ec98c,68b98812612f0293c20db5cf
68b70934570891ebac502084,68b9cf97bfa05e420780a1d4
68b873c9c943d0109489951a,68b981c3612f0293c20db561
68a989b7d3101920ef9dcdc5,68b9cf98bfa05e420780a1dc
68b873c9c943d0109489951a,68b987d4612f0293c20db5c9
689f87a099fbf5076c5ec98c,68b9cf98bfa05e420780a1e4
68b70934570891ebac502084,68b9ad1c9d6743e586455005
68a2008d0e824ad4a74affdf,68b97cf03364699be59a4a26
68b98efec02accb223b32cbf,68b9850c612f0293c20db5a0
68a989f2d3101920ef9dcdc9,68b97cf03364699be59a4a2a
68a02ac4b9fb569a6ae6b733,68b981c3612f0293c20db563
68b873c9c943d0109489951a,68b9ad1e9d6743e586455021
68a2008d0e824ad4a74affdf,68b981c1612f0293c20db549
68b94594f7f0ff7d31298ae8,68b9857c612f0293c20db5a8
68b71602570891ebac502242,68b981c2612f0293c20db557
68b70934570891ebac502084,68b9ad1c9d6743e586455003
68b873c9c943d0109489951a,68b9ad1c9d6743e58645500f
68b94594f7f0ff7d31298ae8,68b981c1612f0293c20db543
68a2008d0e824ad4a74affdf,68b9ad1c9d6743e586455003
689f87a099fbf5076c5ec98c,68b9850c612f0293c20db5a0
689f850399fbf5076c5ec989,68b9ad1d9d6743e586455017
689f850399fbf5076c5ec989,68b98430612f0293c20db596
68b71602570891ebac502242,68b97cf03364699be59a4a2e
68b873c9c943d0109489951a,68b9ad1d9d6743e586455015
68b94594f7f0ff7d31298ae8,68b9cf99bfa05e420780a1ea
68b70934570891ebac502084,68b9cf99bfa05e420780a1ea
689f850399fbf5076c5ec989,68b9cf97bfa05e420780a1d2
68b873c9c943d0109489951a,68b97cef3364699be59a4a20
689f84b899fbf5076c5ec985,68b9ad1c9d6743e586455007
68b873c9c943d0109489951a,68b987d4612f0293c20db5c9
68b8bf970f9799245af77682,68b983a7612f0293c20db594
68b71602570891ebac502242,68b98644612f0293c20db5ae
68a989f2d3101920ef9dcdc9,68b97cf03364699be59a4a2e
68b71602570891ebac502242,68b9ad1d9d6743e586455017
68a1c4282dcd385eea223e67,68b981c1612f0293c20db54b
689f84b899fbf5076c5ec985,68b987d4612f0293c20db5c9
68a1c4282dcd385eea223e67,68b9857c612f0293c20db5a8
68a1c4282dcd385eea223e67,68b9ad1c9d6743e58645500f
68a989b7d3101920ef9dcdc5,68b981c1612f0293c20db54b
68b98efec02accb223b32cbf,68b9cf98bfa05e420780a1e2
689f87a099fbf5076c5ec98c,68b98527612f0293c20db5a2
68a2008d0e824ad4a74affdf,68b981c2612f0293c20db557
68a1c4282dcd385eea223e67,68b981c2612f0293c20db54d
68b8bf970f9799245af77682,68b9ad1d9d6743e58645501d
68a1c4282dcd385eea223e67,68b981c1612f0293c20db547
68a1c4282dcd385eea223e67,68b9850c612f0293c20db5a0
68a4e27529c853d3c50a06b9,68b9ad1c9d6743e586455003
68b873c9c943d0109489951a,68b981c2612f0293c20db555
68b98efec02accb223b32cbf,68b97cee3364699be59a4a0e
68a989b7d3101920ef9dcdc5,68b9ad1d9d6743e586455011
68a989f2d3101920ef9dcdc9,68b981c2612f0293c20db557
68b98efec02accb223b32cbf,68b981c3612f0293c20db561
68a1c4282dcd385eea223e67,68b981c2612f0293c20db54f
68b873c9c943d0109489951a,68b98562612f0293c20db5a6
68b98efec02accb223b32cbf,68b981c3612f0293c20db55d
689f84b899fbf5076c5ec985,68b9ad1b9d6743e586455001
68a1c4282dcd385eea223e67,68b9ad1b9d6743e586455001
68b71602570891ebac502242,68b981c2612f0293c20db54d
689f84b899fbf5076c5ec985,68b981c2612f0293c20db54f
68a989b7d3101920ef9dcdc5,68b97cef3364699be59a4a1a
68b873c9c943d0109489951a,68b98822612f0293c20db5d1
68a1c4282dcd385eea223e67,68b9ad1d9d6743e586455015
68b873c9c943d0109489951a,68b984d8612f0293c20db59e
68a989b7d3101920ef9dcdc5,68b9cfd3bfa05e420780a1f2
68a2008d0e824ad4a74affdf,68b98430612f0293c20db596
68b8bf970f9799245af77682,68b97cef3364699be59a4a1c
68a1c4282dcd385eea223e67,68b981c2612f0293c20db551
68a989f2d3101920ef9dcdc9,68b9cf99bfa05e420780a1ea
68a989b7d3101920ef9dcdc5,68b9ad1c9d6743e586455005
68a4e27529c853d3c50a06b9,68b981c3612f0293c20db55b
68b94594f7f0ff7d31298ae8,68b9cf99bfa05e420780a1e8
68b71602570891ebac502242,68b98658612f0293c20db5b0
68a4e27529c853d3c50a06b9,68b97cef3364699be59a4a1a
68a4e27529c853d3c50a06b9,68b981c1612f0293c20db547
68b71602570891ebac502242,68b981c2612f0293c20db557
68b98efec02accb223b32cbf,68b98430612f0293c20db596
68a037f0368971a3a299acd8,68b9ad1e9d6743e586455021
68b8bf970f9799245af77682,68b981c1612f0293c20db543
689f850399fbf5076c5ec989,68b9cf97bfa05e420780a1d6
68b71602570891ebac502242,68b9ad1e9d6743e586455021
68a037f0368971a3a299acd8,68b97cee3364699be59a4a0c
